Hours,ng_ccs_WECC,nuclear_WECC,wind_WECC,solar_WECC,ng_ccs_ERCOT,nuclear_ERCOT,solar_ERCOT,wind_ERCOT
4541,1,1,0.321,0.000333333,1,1,0,0.4684
4542,1,1,0.267,0.102333333,1,1,0.0014,0.4138
4543,1,1,0.219,0.355333333,1,1,0.0552,0.2944
4544,1,1,0.088,0.518333333,1,1,0.1736,0.3006
4545,1,1,0.073,0.618666667,1,1,0.3132,0.2728
4546,1,1,0.065,0.660666667,1,1,0.4282,0.227
4547,1,1,0.086,0.686666667,1,1,0.5194,0.2212
4548,1,1,0.089,0.698,1,1,0.5794,0.2436
4549,1,1,0.182,0.687,1,1,0.5974,0.2592
4550,1,1,0.123,0.693333333,1,1,0.5842,0.2586
4551,1,1,0.103,0.668,1,1,0.534,0.25
4552,1,1,0.084,0.631333333,1,1,0.4374,0.2778
4553,1,1,0.121,0.577333333,1,1,0.3156,0.3652
4554,1,1,0.204,0.467,1,1,0.175,0.4964
4555,1,1,0.396,0.305333333,1,1,0.0546,0.6068
4556,1,1,0.601,0.070333333,1,1,0.0014,0.6828
4557,1,1,0.633,0,1,1,0,0.705
4558,1,1,0.618,0,1,1,0,0.661
4559,1,1,0.589,0,1,1,0,0.5686
4560,1,1,0.443,0,1,1,0,0.4544
4561,1,1,0.383,0,1,1,0,0.4186
4562,1,1,0.272,0,1,1,0,0.381
4563,1,1,0.225,0,1,1,0,0.3326
4564,1,1,0.198,0,1,1,0,0.2664
4565,1,1,0.202,0,1,1,0,0.2162
4566,1,1,0.158,0.086,1,1,0.0014,0.167
4567,1,1,0.17,0.339666667,1,1,0.0542,0.1198
4568,1,1,0.144,0.494333333,1,1,0.1732,0.1182
4569,1,1,0.06,0.603,1,1,0.3168,0.1358
4570,1,1,0.042,0.643666667,1,1,0.4468,0.1116
4571,1,1,0.108,0.672666667,1,1,0.5436,0.0618
4572,1,1,0.085,0.684,1,1,0.6024,0.0402
4573,1,1,0.067,0.678666667,1,1,0.6188,0.061
4574,1,1,0.089,0.686666667,1,1,0.5908,0.1342
4575,1,1,0.131,0.657333333,1,1,0.5314,0.2488
4576,1,1,0.237,0.593666667,1,1,0.4212,0.3816
4577,1,1,0.145,0.541,1,1,0.2972,0.5056
4578,1,1,0.2,0.436666667,1,1,0.166,0.6096
4579,1,1,0.139,0.241333333,1,1,0.0526,0.6654
4580,1,1,0.182,0.058333333,1,1,0.0012,0.6682
4581,1,1,0.279,0,1,1,0,0.647
4582,1,1,0.439,0,1,1,0,0.5904
4583,1,1,0.746,0,1,1,0,0.5548
4584,1,1,0.599,0,1,1,0,0.5384
4585,1,1,0.383,0,1,1,0,0.5206
4586,1,1,0.374,0,1,1,0,0.4856
4587,1,1,0.439,0,1,1,0,0.4418
4588,1,1,0.318,0,1,1,0,0.4008
4589,1,1,0.291,0,1,1,0,0.3554
4590,1,1,0.192,0.066333333,1,1,0.001,0.323
4591,1,1,0.125,0.307666667,1,1,0.05,0.2326
4592,1,1,0.04,0.455666667,1,1,0.1532,0.3626
4593,1,1,0.023,0.558,1,1,0.273,0.4672
4594,1,1,0.042,0.601,1,1,0.3832,0.4808
4595,1,1,0.034,0.627333333,1,1,0.4752,0.5098
4596,1,1,0.071,0.644666667,1,1,0.5308,0.5774
4597,1,1,0.083,0.626,1,1,0.5372,0.6494
4598,1,1,0.098,0.609666667,1,1,0.5094,0.7024
4599,1,1,0.172,0.586,1,1,0.4608,0.7392
4600,1,1,0.214,0.550333333,1,1,0.388,0.7676
4601,1,1,0.278,0.489666667,1,1,0.2828,0.7928
4602,1,1,0.179,0.398,1,1,0.161,0.8184
4603,1,1,0.181,0.202333333,1,1,0.0486,0.8316
4604,1,1,0.247,0.040333333,1,1,0.0012,0.8478
4605,1,1,0.46,0,1,1,0,0.8502
4606,1,1,0.862,0,1,1,0,0.8458
4607,1,1,0.722,0,1,1,0,0.85
4608,1,1,0.735,0,1,1,0,0.8524
4609,1,1,0.653,0,1,1,0,0.8512
4610,1,1,0.492,0,1,1,0,0.8496
4611,1,1,0.426,0,1,1,0,0.8494
4612,1,1,0.259,0,1,1,0,0.8162
4613,1,1,0.162,0,1,1,0,0.7716
4614,1,1,0.14,0.070333333,1,1,0.001,0.7586
4615,1,1,0.147,0.233,1,1,0.0548,0.77
4616,1,1,0.082,0.381666667,1,1,0.174,0.8788
4617,1,1,0.099,0.464666667,1,1,0.315,0.8958
4618,1,1,0.086,0.515,1,1,0.4382,0.8846
4619,1,1,0.051,0.557,1,1,0.528,0.856
4620,1,1,0.072,0.574666667,1,1,0.592,0.8222
4621,1,1,0.103,0.572333333,1,1,0.6198,0.795
4622,1,1,0.096,0.559,1,1,0.6054,0.782
4623,1,1,0.195,0.486333333,1,1,0.5494,0.7836
4624,1,1,0.161,0.435666667,1,1,0.4554,0.8078
4625,1,1,0.151,0.367333333,1,1,0.3246,0.8448
4626,1,1,0.161,0.258666667,1,1,0.1788,0.8742
4627,1,1,0.444,0.122,1,1,0.0542,0.8834
4628,1,1,0.648,0.027333333,1,1,0.0012,0.9186
4629,1,1,0.719,0,1,1,0,0.9388
4630,1,1,0.499,0,1,1,0,0.9442
