Hour,WECC_Load_MWh,ERCOT_Load_MWh_2050
527,158841,87833.2
528,140266,89068.2
529,125594,91526.8
530,126133,98395.3
531,125730,101638.6
532,128457,99073.6
533,135939,97375
534,153891,100069.2
535,176604,95195.7
536,187793,93014.5
537,184717,92712.4
538,179404,92526.2
539,180508,92963.2
540,183427,94677
541,185322,99664.5
542,185483,98714.5
543,191125,97259.1
544,202980,94931.6
545,220773,92900.5
546,232328,90172.1
547,212841,87306.9
548,185000,93797.3
549,169627,93518
550,150609,93651
551,136363,94378.7
552,134968,95475
553,131604,97935.5
554,130944,106073.2
555,130645,108552.7
556,133020,107965.6
557,139560,106614.7
558,157851,109335.5
559,181518,104133.3
560,191049,101034.4
561,187164,100093.9
562,181714,98383.9
563,182781,98501.7
564,186489,99945.7
565,189043,105843.3
566,189761,103109.2
567,193300,102455.6
568,206028,100401.7
569,226173,98469.4
570,236978,95678.3
571,216281,93126.6
572,186288,90546.4
573,171199,90246.2
574,147182,90365.9
575,135120,91205.7
576,128115,92395.1
577,131074,94916.4
578,131858,101216.8
579,130925,104353.7
580,133537,102155.4
581,140696,100644.9
582,157848,102769.1
583,180344,97363.6
584,187997,94384.4
585,184320,93257.7
586,178285,92621.2
587,179913,92758
588,183331,94084.2
589,186064,98285.1
590,187206,96957
591,191719,96273
592,205150,94137.4
593,223291,91969.5
594,234179,89296.2
595,213253,86571.6
596,184436,84848.3
597,167631,84519.6
598,150317,84660.2
599,135808,85348
600,131322,86735
601,132680,89068.2
602,130962,97405.4
603,129787,101461.9
604,132077,101108.5
605,139101,99145.8
606,157182,100907.1
607,179595,96871.5
608,189663,94507.9
609,186739,94494.6
610,181738,94464.2
611,184466,95433.2
612,189525,97758.8
613,192301,101296.6
614,193273,99932.4
615,198770,98697.4
616,212284,95419.9
617,234147,92085.4
618,244116,87369.6
619,221855,84276.4
620,188856,81287.7
621,175793,80332
622,159031,79955.8
623,142233,80092.6
624,128356,81063.5
625,130923,83085.1
626,131188,92803.6
627,129574,95687.8
628,131599,95881.6
629,138688,94618.1
630,156937,96723.3
631,178657,93936
632,188866,94101.3
633,185743,93519.9
634,180239,94308.4
635,183161,95815.1
636,187342,98418.1
637,190059,102959.1
638,190675,101456.2
639,192850,100639.2
640,206595,97846.2
641,225460,94811.9
642,235657,90466.6
643,213757,87962.4
644,179307,85490.5
645,164764,84842.6
646,143914,84477.8
647,130787,84603.2
648,130021,85370.8
649,138568,87487.4
650,134686,96231.2
651,133858,99316.8
652,132613,100232.6
653,134642,99202.8
654,141599,101634.8
655,149504,98114.1
656,155358,96508.6
657,163852,96993.1
658,173061,97481.4
659,181355,98676.5
660,190189,101245.3
661,197118,106088.4
662,196110,104427.8
663,189007,103648.8
664,189484,100732.3
665,194306,97808.2
666,198456,93732.7
667,215353,91196.2
668,209593,88686.3
669,194027,88093.5
670,175396,87865.5
671,156872,88097.3
672,137282,89075.8
673,142465,91268.4
674,134898,98689.8
675,133781,102349.2
676,132867,103749.5
677,133774,102915.4
678,138959,105364.5
679,147248,101992
680,153360,100019.8
681,162968,100388.4
682,172310,100855.8
683,180193,101955.9
684,188763,104424
685,195374,109210.1
686,196663,107161.9
687,195588,106082.7
688,193176,103073.1
689,198717,100012.2
690,209919,95815.1
691,221182,93181.7
692,214713,90550.2
693,199045,89843.4
694,177570,89531.8
695,159162,89738.9
696,146358,90639.5
697,130147,92666.8
698,127507,100637.3
699,126421,104061.1
700,129151,104883.8
701,136478,104175.1
702,155951,106132.1
703,179055,102404.3
704,188832,100990.7
705,185050,101410.6
706,179550,102014.8
707,181267,103092.1
708,184685,105501.3
709,187408,109536.9
710,188442,107760.4
711,195572,106451.3
712,208290,103287.8
713,229631,100137.6
714,243519,95330.6
715,214845,92248.8
716,183993,89205
717,167314,88319.6
718,145080,87772.4
719,133221,87952.9
720,133318,88750.9
721,132450,90586.3
722,129379,99356.7
723,128163,99801.3
724,130615,99314.9
725,137893,97908.9
726,156180,100278.2
727,179165,95849.3
728,189836,94019.6
729,185476,94023.4
730,179197,93339.4
731,180042,94034.8
732,183784,96223.6
733,185963,100453
734,187405,99406.1
735,193647,97905.1
736,205617,95347.7
737,228106,93282.4
738,244025,90457.1
739,217337,87719.2
740,186927,78960.2
741,170965,77098.2
742,147554,75374.9
743,136683,74193.1
744,138062,74341.3
745,137707,78891.8
746,134510,80879.2
747,133616,81331.4
748,136308,80278.8
749,143957,81185.1
750,162703,81787.4
751,186813,82005.9
752,198057,82378.3
753,193964,83586.7
754,188424,86125.1
755,189074,89575.5
756,191733,93320.4
757,193392,93580.7
758,194077,93867.6
759,202585,92545.2
760,219363,89984
761,242463,86146
762,256263,82338.4
763,228185,78147
764,195320,76552.9
765,179247,75177.3
766,158717,73881.5
767,146742,73317.2
768,146215,73919.5
769,142173,79775.3
770,139229,83106
771,138098,85386
772,140750,84683
773,148239,86305.6
774,168148,87445.6
775,192058,88161.9
776,201897,89524.2
777,197494,92505.3
778,190448,95934.8
779,190846,99617
780,193407,102959.1
781,195097,102145.9
782,196361,102250.4
783,204527,100054
784,218605,95077.9
785,238770,88971.3
786,253601,85338.5
787,226250,81006.5
788,194358,78829.1
789,177117,77081.1
790,153855,75371.1
791,142183,74445.8
792,142229,74679.5
793,141306,80352.9
794,138602,83605.7
795,137505,85731.8
796,140345,85114.3
797,147947,86877.5
798,167076,88441.2
799,190631,89123.3
800,201392,90314.6
801,196310,93005
802,188946,96280.6
803,189506,99839.3
804,191242,102858.4
805,192234,102750.1
806,192607,103589.9
807,197931,101581.6
808,208569,96240.7
809,228861,89974.5
810,243629,85842
811,215181,81274.4
812,183441,78432
813,168240,76742.9
814,147936,75031
815,138246,74094.3
816,141719,74328
817,148204,79927.3
818,140952,82980.6
819,140091,85093.4
820,139490,84323.9
821,142018,85716.6
822,149515,87073.2
823,159193,87734.4
824,165358,88627.4
825,174075,91171.5
826,183322,94439.5
827,191411,97979.2
828,198574,101053.4
829,204477,100390.3
830,204485,100804.5
831,203107,98537.8
832,203532,93223.5
833,204937,87381
834,214457,83746.3
835,223714,79851.3
836,217919,77495.3
837,203612,75751.1
838,186107,74062
839,170746,73163.3
840,158278,73446.4
841,139868,79269.9
842,134244,82617.7
843,133597,84897.7
844,133215,84356.2
845,134613,86087.1
846,139854,87791.4
847,148391,88929.5
848,155128,90396.3
849,164248,93381.2
850,172251,96801.2
851,178023,100629.7
852,185505,104006
853,192193,103544.3
854,192452,104482.9
855,189792,102565.8
856,184338,97128
857,183461,90761.1
858,193045,86670.4
859,204591,82087.6
860,204288,78971.6
861,191270,77229.3
862,168121,75462.3
863,151232,74371.7
864,137980,74483.8
865,127472,80109.7
866,126402,83094.6
867,125995,85114.3
868,129019,84265
869,136724,85826.8
870,155709,87088.4
871,178230,87597.6
872,188465,88574.2
873,184460,91177.2
874,178551,94126
875,179350,97760.7
876,181778,100614.5
877,183376,100031.2
878,183808,100443.5
879,190152,98794.3
880,203728,93915.1
881,223920,88209.4
882,235171,84352.4
883,210955,80028
884,181385,77455.4
885,165504,75728.3
886,148575,74033.5
887,135494,72904.9
888,129393,73176.6
889,130444,77922.8
890,127355,80022.3
891,126183,80510.6
892,128419,79497.9
893,135505,80447.9
894,153895,81111
895,176193,81394.1
896,186691,81677.2
897,183395,82870.4
898,178302,85194.1
899,179874,88188.5
900,182978,91479.3
901,184724,91135.4
902,186196,91374.8
903,194451,90115.1
904,209627,87552
905,229927,83826.1
906,243236,80052.7
907,216896,75973.4
908,186138,73891
909,168876,72488.8
910,151944,71333.6
911,141039,70744.6
912,133058,71525.5
913,128266,74979.7
914,124860,77428.8
915,123621,77493.4
916,125722,76590.9
917,132357,77787.9
918,149652,78572.6
919,171144,78907
920,181421,79412.4
921,178041,81608.8
922,173339,84059.8
923,175824,86961.1
924,180213,90457.1
925,182917,91051.8
926,184573,91637
927,190723,90736.4
928,201142,88078.3
929,218250,84379
930,232286,80793.7
931,208075,76879.7
932,178095,74966.4
933,160901,73596.5
934,138906,72469.8
935,125127,72148.7
936,122710,73022.7
937,125022,79750.6
938,123253,83408.1
939,121622,85956
940,123510,85389.8
941,129994,86955.4
942,146813,87981.4
943,167896,88427.9
944,177884,89330.4
945,174627,91728.2
946,170962,94443.3
947,174071,97718.9
948,178693,100169.9
949,181674,99489.7
950,183618,100380.8
951,188820,98473.2
952,201257,93793.5
953,216103,87981.4
954,226613,84255.5
955,202462,80043.2
956,173688,77719.5
957,157930,76064.6
958,137459,74402.1
959,122949,73617.4
960,119816,74092.4
961,123367,80219.9
962,121653,83436.6
963,120112,85598.8
964,121898,84829.3
965,128072,86480.4
966,144463,87835.1
967,165077,88346.2
968,175590,89301.9
969,172759,91866.9
970,169522,94986.7
971,172556,98752.5
972,176688,102014.8
973,179553,101454.3
974,180760,102233.3
975,184873,100135.7
976,194122,95435.1
977,214206,89448.2
978,223938,85482.9
979,197659,81038.8
980,169345,78274.3
981,154604,76522.5
982,136842,74820.1
983,127236,73894.8
984,125333,74299.5
985,135389,80174.3
986,129740,83503.1
987,128307,85648.2
988,127099,84842.6
989,129292,86372.1
990,136246,87428.5
991,145475,88030.8
992,151991,89260.1
993,161328,91878.3
994,170919,94853.7
995,178628,97889.9
996,186681,100753.2
997,192598,99983.7
998,191047,100688.6
999,188307,98982.4
1000,187977,93901.8
1001,192279,87846.5
1002,196051,83945.8
1003,208571,80003.3
1004,204782,76053.2
1005,190200,74645.3
1006,171790,73410.3
1007,156094,72733.9
1008,143252,73284.9
1009,144891,76495.9
1010,135761,78601.1
1011,133932,78692.3
1012,132809,77493.4
1013,133695,78671.4
1014,139437,79336.4
1015,147536,80223.7
1016,154146,80827.9
1017,164427,83487.9
1018,175015,86453.8
1019,183102,89799.7
1020,192921,93841
1021,201836,94770.1
1022,203919,94338.8
1023,204197,93293.8
1024,204924,90713.6
1025,218474,86900.3
1026,226890,83128.8
1027,236066,79045.7
1028,229510,77694.8
1029,214628,75903.1
1030,195624,74246.3
1031,177725,73298.2
